status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,polarity_comments
184096565021911_1041428705955355,"Mark Cuban in the debate spin room at Hofstra University: It's ""fun to pick on Donald J. Trump, it just got to be a lot less fun when he started to run for president"" http://abcn.ws/2dnmhUe",Mark Cuban Criticizes Trump in Debate Spin Room,video,https://www.facebook.com/ABCNewsPolitics/videos/1041428705955355/,9/26/2016 18:52,395,119,67,310,30,1,43,2,9,0,0.18
184096565021911_1041240549307504,"We’re just hours ahead of the widely anticipated, first presidential debate of 2016, and ABC News' political director Rick Klein is here to discuss what the two candidates need to do to break through. Ask your questions in the comments below!",ABC News' Rick Klein previews the debate with David Brock and ...,video,https://www.facebook.com/ABCNewsPolitics/videos/1041240549307504/,9/26/2016 15:01,504,775,116,401,47,12,14,6,24,0,-0.1
184096565021911_1041100572654835,"ABC News is LIVE at Gino's Pizza in Levittown, NY talking 2016 with Long Islanders ahead of tonight's critical presidential debate. http://abcn.ws/2dmynNI",,video,https://www.facebook.com/ABCNewsPolitics/videos/1041100572654835/,9/26/2016 12:17,1040,990,201,855,98,19,16,11,41,0,-0.02
184096565021911_1039356649495894,"George W. Bush at dedication ceremony for Smithsonian's Smithsonian National Museum of African American History and Culture: I'm proud to see the museum stand ""where it has always belonged: on the National Mall.""",Bush: Proud to See Museum Stand 'Where it Belongs',video,https://www.facebook.com/ABCNewsPolitics/videos/1039356649495894/,9/24/2016 10:31,412,33,65,351,35,5,4,1,16,0,-0.03
184096565021911_1037846762980216,"Donald J. Trump comments on Charlotte: ""Our country looks bad to the world, especially when we are supposed to be the world's leader. How can we lead when we can't even control our own cities?""",,video,https://www.facebook.com/ABCNewsPolitics/videos/1037846762980216/,9/22/2016 11:16,274,220,138,177,10,5,17,5,60,0,0.12
184096565021911_1037371396361086,"Fed Chair Janet Yellen tells ABC News' Rebecca Jarvis: ""The Federal Reserve is not politically compromised"" abcn.ws/2cmM7WJ",Janet Yellen: 'The Federal Reserve Is Not Politically Compromi...,video,https://www.facebook.com/ABCNewsPolitics/videos/1037371396361086/,9/21/2016 19:23,53,10,8,44,0,3,5,0,1,0,-0.03
184096565021911_1037225543042338,"Hillary Clinton praises first deaf West Wing receptionist Leah Katz-Hernandez: Shows ""how our nation sees the talent in everyone.""",Clinton Praises First Deaf West Wing Receptionist,video,https://www.facebook.com/ABCNewsPolitics/videos/1037225543042338/,9/21/2016 14:16,341,82,27,263,60,4,4,1,9,0,-0.03
184096565021911_1037097846388441,"Introducing Donald J. Trump at a Cleveland church, Don King says, ""Every white woman should cast their vote for Donald Trump...to knock out the system."" http://abcn.ws/2d4sDfa",Don King: White Women Should Vote for Trump,video,https://www.facebook.com/ABCNewsPolitics/videos/1037097846388441/,9/21/2016 10:38,698,381,246,358,29,21,133,12,145,0,-0.17
184096565021911_1036399716458254,"Why do two parties dominate American politics? It wasn't always this way. A brief history, from George Washington on: http://abcn.ws/2cmOy0s",Why Do We Have a Two Party System?,video,https://www.facebook.com/ABCNewsPolitics/videos/1036399716458254/,9/20/2016 13:55,26,11,30,24,0,1,0,0,1,0,-0.07
184096565021911_1036245469807012,"President Obama in final United Nations General Assembly address: Despite ""our share of mistakes,"" America ""has been a force for good."" abcn.ws/2cEKXsA",Pres. Obama: America Superpower 'Willing to Think Beyond Narro...,video,https://www.facebook.com/ABCNewsPolitics/videos/1036245469807012/,9/20/2016 10:10,208,42,23,169,18,1,10,1,9,0,0.01
184096565021911_1035767019854857,"Fatina Abdrabboh, Director of American Arab Anti-Discrimination Committee in Dearborn, MI tells ABC News that Islam ""has deep roots"" in US: ""We have to dismantle"" the idea that Muslims are foreign.",Fatina Abdrabboh: Islam 'Has Deep Roots' in US,video,https://www.facebook.com/ABCNewsPolitics/videos/1035767019854857/,9/19/2016 19:09,203,104,26,157,8,3,17,0,18,0,0.01
184096565021911_1035684116529814,"TONIGHT: ABC News' Matthew Dowd and LZ Granderson host a very special Strait Talk LIVE from Detroit, talking everything from the 2016 race to the rebirth of Detroit. Tune in! http://abcn.ws/2cyTdIC",Strait Talk Live From Detroit,video,https://www.facebook.com/ABCNewsPolitics/videos/1035684116529814/,9/19/2016 16:44,18,6,5,18,0,0,0,0,0,0,0.02
184096565021911_1035411183223774,"Hillary Clinton responds to weekend attacks: ""This threat is real, but so is our resolve. Americans will not cower, we will prevail."" http://abcn.ws/2ck2Xe1","Clinton: 'This Threat Is Real, But So Is Our Resolve'",video,https://www.facebook.com/ABCNewsPolitics/videos/1035411183223774/,9/19/2016 9:26,402,103,44,327,44,1,4,1,25,0,0.18
