status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,polarity_comments
146422995398181_1454550244585443,This is how every racist should be handled.,WATCH: Black Protesters Drove David Duke Out Of His Own Racist Protest,link,http://author.addictinginfo.org/2016/09/25/watch-black-protesters-drove-david-duke-out-of-his-own-racist-protest/,9/25/2016 17:30,3939,218,693,2906,306,26,681,2,18,0,-0.13
146422995398181_1454019531305181,"Because to Donald, size really is all that matters.",How Over-Compensating Donald Trump Made His Little Pre-Debate Rally Look Like The Super Bowl,link,http://winningdemocrats.com/how-over-compensating-donald-trump-made-his-little-pre-debate-rally-look-like-the-super-bowl/,9/25/2016 6:44,897,144,165,406,3,44,405,6,33,0,0.15
146422995398181_1452411621465972,"Donald Trump has no comprehension of the meaning of the word ""truth.""",Americans Against The Republican Party,video,https://www.facebook.com/Republicansareidiots1/videos/1267420723279790/,9/24/2016 7:30,1453,417,0,969,17,36,237,31,163,0,0.07
146422995398181_1452344608139340,Hillary just gave Trump something to choke on.,BREAKING: Hillary Drops Major ‘Tell-All’ About Trump Just Before The Debates,link,http://news.groopspeak.com/breaking-hillary-drops-major-tell-all-about-trump-just-before-the-debates/,9/24/2016 2:30,2579,196,535,2129,246,21,170,1,12,0,0.15
146422995398181_1451202248253576,,Groopspeak,photo,https://www.facebook.com/groopspeak/photos/a.649446458516440.1073741828.369527829841639/974534116007671/?type=3,9/23/2016 2:30,4829,922,0,2199,33,506,1800,177,114,0,0.04
146422995398181_1451127358261065,"Great question.

LIKE Addicting Info for more great content!",Timeline Photos,photo,https://www.facebook.com/AddictingInfoOrg/photos/a.182300141810466.38724.146422995398181/1451127358261065/?type=3,9/22/2016 22:30,12398,664,14697,10106,155,62,9,994,1072,0,0.16
146422995398181_1451123788261422,LIKE Addicting Info for more great content!,Timeline Photos,photo,https://www.facebook.com/AddictingInfoOrg/photos/a.182300141810466.38724.146422995398181/1451123788261422/?type=3,9/22/2016 21:20,6818,312,3576,5700,226,32,748,61,51,0,-0.2
146422995398181_1450664601640674,Fox News host Sean Hannity desperately tried to smear Terence Crutcher on Wednesday as a violent criminal who was wanted by police but was repeatedly shut down by a local anchor.,Hannity Gets His A** Handed To Him For Falsely Claiming Terence Crutcher Has Violent Criminal Past,link,http://author.addictinginfo.org/2016/09/22/hannity-gets-his-a-handed-to-him-for-falsely-claiming-terence-crutcher-has-violent-criminal-past/,9/22/2016 12:10,3328,698,1140,1920,49,76,440,46,797,0,-0.01
146422995398181_1450069728366828,"This policy has been proven to be racist, and Trump wants it in every state.",Trump Calls For This Racist Policy To Be Forced On Every State,link,http://www.addictinginfo.org/2016/09/21/trump-calls-for-this-racist-policy-to-be-forced-on-every-state/,9/21/2016 22:45,1006,207,325,277,2,81,20,27,599,0,-0.15
146422995398181_1449628885077579,Trump supporters are insane.,WATCH: Jimmy Kimmel Demonstrates That Trump Could Support Child Rape And Not Lose Any Votes,link,http://www.addictinginfo.org/2016/09/21/watch-jimmy-kimmel-demonstrates-that-trump-could-support-child-rape-and-not-lose-any-votes/,9/21/2016 13:45,1396,164,487,831,14,91,65,141,254,0,0.13
146422995398181_1448886951818439,Must be his new outreach strategy.,Twitter Just Wrecked Donald Trump After Horrible Attack On ‘Black Communities’ (TWEETS),link,http://winningdemocrats.com/twitter-just-wrecked-donald-trump-after-horrible-attack-on-black-communities-tweets/,9/21/2016 6:30,407,53,91,229,6,16,55,7,94,0,0.18
146422995398181_1447438628629938,"These headlines are really damning, unless you actually read beyond them.",Proof The Mainstream Media Is Manipulating The Election By Taking Bill Clinton Out Of Context,link,http://www.addictinginfo.org/2016/09/19/proof-the-mainstream-media-is-manipulating-the-election-by-taking-bill-clinton-out-of-context/,9/19/2016 15:30,859,101,167,486,6,27,3,63,274,0,0.18
146422995398181_1446984445342023,Of all the stupid things...,Donald Trump Jr. Just Pinned A Tweet So Stupid It Will Make Your Eyes Bleed,link,http://winningdemocrats.com/donald-trump-jr-just-pinned-a-tweet-so-stupid-it-will-make-your-eyes-bleed/,9/19/2016 6:30,860,180,132,441,9,49,301,12,48,0,-0.18
146422995398181_1446522352054899,"This over the top, even for these morons.","A Dallas Cop Just Filed Suit Against Obama, Hillary, Black Lives Matter For Really Bizarre Conspiracy",link,http://www.addictinginfo.org/2016/09/18/a-dallas-cop-just-filed-suit-against-obama-hillary-black-lives-matter-for-really-bizarre-conspiracy/,9/18/2016 23:15,1026,375,126,259,2,97,272,32,364,0,-0.01
146422995398181_1446514702055664,This is one way to help end institutionalized poverty and racism.,These Banks Are Fighting The Cycle Of Poverty In Places The Major Banks Won’t Go,link,http://www.addictinginfo.org/2016/09/18/these-banks-are-fighting-the-cycle-of-poverty-in-places-the-major-banks-wont-go/,9/18/2016 21:15,139,6,35,131,6,0,0,2,0,0,-0.08
146422995398181_1446428038730997,"With early voting coming up, Democrats have no time to spare.","Democrats Need To Mobilize, Stick Together, And Get Out The Vote – And Fast",link,http://www.addictinginfo.org/2016/09/18/democrats-need-to-mobilize-stick-together-and-get-out-the-vote-and-fast/,9/18/2016 20:15,3547,250,778,3276,244,18,6,2,1,0,-0.19
