status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,polarity_comments
219367258105115_1290321764342987,#CNNRealityCheck: We’re with CNN senior editorial director Richard Griffiths and CNN Politics executive editor Rachel Smolkin talking about CNN’s Reality Checks for tonight’s presidential debate. Leave your questions in the comments. cnn.com/realitycheck,,video,https://www.facebook.com/cnnpolitics/videos/1290321764342987/,9/26/2016 16:45,357,675,69,298,26,3,9,0,21,0,-0.04
219367258105115_1290187427689754,"We are in the debate spin room at Hofstra University, where CNN national political reporters Maeve Reston and Sara Murray are previewing tonight’s big debate between Donald Trump and Hillary Clinton. Leave your questions in the comments.",,video,https://www.facebook.com/cnnpolitics/videos/1290187427689754/,9/26/2016 14:17,488,791,75,406,35,7,7,3,30,0,0.09
219367258105115_1289820584393105,Here are some of the best debate moments in US history: http://cnn.it/2cw64e4,,video,https://www.facebook.com/cnnpolitics/videos/1289820584393105/,9/26/2016 9:00,152,39,78,137,3,0,11,0,1,0,0.2
219367258105115_1286666041375226,"Brooks & Dunn's Kix Brooks is not buying the gloom and doom expressed on the campaign trail about America's declining greatness. ""As far as 'Make America Great Again,' we've always been great,"" Brooks tells CNN's #GetPolitical. http://cnn.it/2cItXzJ",,video,https://www.facebook.com/cnnpolitics/videos/1286666041375226/,9/23/2016 11:15,731,171,112,630,75,1,7,1,17,0,0.19
219367258105115_1286365484738615,"CNN's MJ Lee reflects on the day she became an American citizen and her experiences covering the 2016 election: ""The man at that Trump rally was right: I am a ""new American."" In fact, I am the first person in my family to become an US citizen. But he was wrong if he assumed that my family had somehow tried to game the system."" http://cnn.it/2dmqKad",,video,https://www.facebook.com/cnnpolitics/videos/1286365484738615/,9/23/2016 6:02,145,61,39,127,15,0,2,0,1,0,0.02
219367258105115_1285595641482266,"We're at a pastors roundtable with Republican vice presidential nominee Mike Pence in Colorado Springs, CO.",Mike Pence at pastors roundtable in Colorado Springs,video,https://www.facebook.com/cnnpolitics/videos/1285595641482266/,9/22/2016 13:34,687,962,72,404,85,4,17,11,166,0,-0.11
219367258105115_1285490121492818,"We’re with members of the Congressional Black Caucus marching to the Department of Justice in Washington, DC, to address police accountability.",,video,https://www.facebook.com/cnnpolitics/videos/1285490121492818/,9/22/2016 11:32,1020,729,179,795,139,6,16,7,57,0,-0.06
219367258105115_1284502774924886,CNN's John King is at the Magic Wall to answer your questions about the election. Leave your questions in the comments.,CNN's John King at the magic wall,video,https://www.facebook.com/cnnpolitics/videos/1284502774924886/,9/21/2016 13:49,601,1234,77,457,96,5,26,2,15,0,0.08
219367258105115_1284470298261467,Fox News host Sean Hannity makes an appearance in a new Donald J. Trump promotional video. http://cnn.it/2dhztuh,,video,https://www.facebook.com/cnnpolitics/videos/1284470298261467/,9/21/2016 13:16,517,376,65,235,37,17,89,3,136,0,0.08
219367258105115_1283456028362894,A look back at President Obama's first speech at the UN General Assembly in 2009 compared to his final speech here as president. http://cnn.it/2cZmcai,,video,https://www.facebook.com/cnnpolitics/videos/1283456028362894/,9/20/2016 16:16,344,119,87,279,32,1,6,1,25,0,0.09
