status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,polarity_comments
135665053303678_553589888177857,www.EagleRising.com,Timeline Photos,photo,https://www.facebook.com/theEagleisRising/photos/a.142656825937834.1073741830.135665053303678/553589888177857/?type=3,9/26/2016 17:30,497,18,290,396,3,5,27,11,55,0,-0.12
135665053303678_553589488177897,www.EagleRising.com,Timeline Photos,photo,https://www.facebook.com/theEagleisRising/photos/a.142656825937834.1073741830.135665053303678/553589488177897/?type=3,9/26/2016 15:30,2840,121,5765,2492,55,22,259,2,10,0,0.08
135665053303678_554123321457847,www.EagleRising.com,Timeline Photos,photo,https://www.facebook.com/theEagleisRising/photos/a.142656825937834.1073741830.135665053303678/554123321457847/?type=3,9/26/2016 1:30,2714,92,3317,2016,52,5,638,0,3,0,-0.02
135665053303678_554064571463722,"Watch ‘Duck Commander’ Phil Robertson in the new film Torchbearer. Opening October 7 in select theaters. 

When man stops believing in God, he’ll believe in anything! 

Get Tickets today: http://www.torchbearermovie.com/theaters",Timeline Photos,photo,https://www.facebook.com/theEagleisRising/photos/a.142656825937834.1073741830.135665053303678/554064571463722/?type=3,9/25/2016 22:15,120,4,32,116,4,0,0,0,0,0,0.05
135665053303678_553589648177881,www.EagleRising.com,Timeline Photos,photo,https://www.facebook.com/theEagleisRising/photos/a.142656825937834.1073741830.135665053303678/553589648177881/?type=3,9/25/2016 15:30,701,31,481,526,9,2,163,1,0,0,-0.13
135665053303678_553733124830200,www.EagleRising.com,Timeline Photos,photo,https://www.facebook.com/theEagleisRising/photos/a.142656825937834.1073741830.135665053303678/553733124830200/?type=3,9/25/2016 4:30,3193,94,3546,2991,86,14,14,11,77,0,0.01
135665053303678_553372134866299,www.EagleRising.com,Timeline Photos,photo,https://www.facebook.com/theEagleisRising/photos/a.142656825937834.1073741830.135665053303678/553372134866299/?type=3,9/25/2016 0:30,3842,570,3214,3270,42,13,170,17,330,0,0.1
135665053303678_553328408204005,www.EagleRising.com,Timeline Photos,photo,https://www.facebook.com/theEagleisRising/photos/a.142656825937834.1073741830.135665053303678/553328408204005/?type=3,9/24/2016 17:30,586,20,807,412,1,5,27,11,130,0,0.07
135665053303678_553328024870710,www.EagleRising.com,Timeline Photos,photo,https://www.facebook.com/theEagleisRising/photos/a.142656825937834.1073741830.135665053303678/553328024870710/?type=3,9/24/2016 15:30,2009,32,1092,1638,43,4,316,3,5,0,-0.08
135665053303678_553370764866436,Eagle Rising,Timeline Photos,photo,https://www.facebook.com/theEagleisRising/photos/a.142656825937834.1073741830.135665053303678/553370764866436/?type=3,9/24/2016 5:30,1083,30,1016,874,3,11,30,14,151,0,-0.03
135665053303678_553370521533127,Eagle Rising,Timeline Photos,photo,https://www.facebook.com/theEagleisRising/photos/a.142656825937834.1073741830.135665053303678/553370521533127/?type=3,9/24/2016 3:30,776,60,512,555,7,9,200,2,3,0,-0.17
135665053303678_553011781569001,Eagle Rising,Timeline Photos,photo,https://www.facebook.com/theEagleisRising/photos/a.142656825937834.1073741830.135665053303678/553011781569001/?type=3,9/24/2016 1:30,2306,69,3064,1956,8,51,38,130,123,0,0.06
135665053303678_553011858235660,www.EagleRising.com,Timeline Photos,photo,https://www.facebook.com/theEagleisRising/photos/a.142656825937834.1073741830.135665053303678/553011858235660/?type=3,9/24/2016 0:30,1357,115,1173,1046,9,16,0,9,277,0,0.02
135665053303678_553003078236538,www.EagleRising.com,Timeline Photos,photo,https://www.facebook.com/theEagleisRising/photos/a.142656825937834.1073741830.135665053303678/553003078236538/?type=3,9/23/2016 20:30,359,8,218,266,1,6,61,4,21,0,-0.02
135665053303678_553002894903223,www.EagleRising.com,Timeline Photos,photo,https://www.facebook.com/theEagleisRising/photos/a.142656825937834.1073741830.135665053303678/553002894903223/?type=3,9/23/2016 15:30,229,13,164,193,17,1,15,3,0,0,-0.15
135665053303678_552600701610109,Eagle Rising,Timeline Photos,photo,https://www.facebook.com/theEagleisRising/photos/a.142656825937834.1073741830.135665053303678/552600701610109/?type=3,9/23/2016 1:30,723,182,1484,397,1,18,5,11,291,0,-0.09
135665053303678_552571698279676,www.EagleRising.com,Timeline Photos,photo,https://www.facebook.com/theEagleisRising/photos/a.142656825937834.1073741830.135665053303678/552571698279676/?type=3,9/22/2016 20:30,1496,56,967,1253,14,18,50,9,152,0,-0.07
135665053303678_552928411577338,Watch the Right Leaning Daily Show right now.  Heres the Thing With Tim Young 9.22,Heres the Thing With Tim Young 9.22,video,https://www.facebook.com/theEagleisRising/videos/552928411577338/,9/22/2016 18:30,219,161,38,183,10,3,6,3,14,0,0.02
135665053303678_552571628279683,www.EagleRising.com,Timeline Photos,photo,https://www.facebook.com/theEagleisRising/photos/a.142656825937834.1073741830.135665053303678/552571628279683/?type=3,9/22/2016 17:30,722,61,490,529,3,3,168,4,15,0,-0.16
135665053303678_552571564946356,www.EagleRising.com,Timeline Photos,photo,https://www.facebook.com/theEagleisRising/photos/a.142656825937834.1073741830.135665053303678/552571564946356/?type=3,9/22/2016 15:30,134,10,55,101,1,0,31,0,1,0,0.03
135665053303678_552599881610191,Eagle Rising,Timeline Photos,photo,https://www.facebook.com/theEagleisRising/photos/a.142656825937834.1073741830.135665053303678/552599881610191/?type=3,9/22/2016 5:30,497,18,434,452,8,5,2,2,28,0,0.03
135665053303678_552599694943543,Eagle Rising,Timeline Photos,photo,https://www.facebook.com/theEagleisRising/photos/a.142656825937834.1073741830.135665053303678/552599694943543/?type=3,9/22/2016 3:30,5629,625,17394,3628,18,108,245,43,1587,0,0.06
135665053303678_552599614943551,Eagle Rising,Timeline Photos,photo,https://www.facebook.com/theEagleisRising/photos/a.142656825937834.1073741830.135665053303678/552599614943551/?type=3,9/22/2016 1:30,167,6,44,154,5,2,0,4,2,0,0.08
135665053303678_552197108317135,www.EagleRising.com,Timeline Photos,photo,https://www.facebook.com/theEagleisRising/photos/a.142656825937834.1073741830.135665053303678/552197108317135/?type=3,9/21/2016 20:30,442,16,252,338,2,11,4,5,82,0,0.02
135665053303678_552196998317146,www.EagleRising.com,Timeline Photos,photo,https://www.facebook.com/theEagleisRising/photos/a.142656825937834.1073741830.135665053303678/552196998317146/?type=3,9/21/2016 17:30,297,4,289,216,3,11,3,27,37,0,-0.2
135665053303678_552242051645974,Eagle Rising,Timeline Photos,photo,https://www.facebook.com/theEagleisRising/photos/a.142656825937834.1073741830.135665053303678/552242051645974/?type=3,9/21/2016 2:30,1169,43,830,946,19,4,197,0,3,0,-0.09
135665053303678_551848841685295,www.EagleRising.com,Timeline Photos,photo,https://www.facebook.com/theEagleisRising/photos/a.142656825937834.1073741830.135665053303678/551848841685295/?type=3,9/21/2016 0:30,1058,23,724,906,6,14,2,28,102,0,0.09
135665053303678_551848795018633,Eagle Rising,Timeline Photos,photo,https://www.facebook.com/theEagleisRising/photos/a.142656825937834.1073741830.135665053303678/551848795018633/?type=3,9/20/2016 23:30,763,28,743,636,4,40,59,8,16,0,0.18
135665053303678_551830951687084,www.EagleRising.com,Timeline Photos,photo,https://www.facebook.com/theEagleisRising/photos/a.142656825937834.1073741830.135665053303678/551830951687084/?type=3,9/20/2016 20:30,664,50,276,520,10,3,120,0,11,0,-0.18
135665053303678_551830681687111,www.EagleRising.com,Timeline Photos,photo,https://www.facebook.com/theEagleisRising/photos/a.142656825937834.1073741830.135665053303678/551830681687111/?type=3,9/20/2016 17:30,1154,24,777,1022,31,12,87,1,1,0,0.11
135665053303678_551830561687123,www.EagleRising.com,Timeline Photos,photo,https://www.facebook.com/theEagleisRising/photos/a.142656825937834.1073741830.135665053303678/551830561687123/?type=3,9/20/2016 15:30,153,4,87,112,0,0,31,0,10,0,-0.02
135665053303678_551844931685686,Eagle Rising,Timeline Photos,photo,https://www.facebook.com/theEagleisRising/photos/a.142656825937834.1073741830.135665053303678/551844931685686/?type=3,9/20/2016 3:30,4207,1244,4232,2975,96,25,1074,4,33,0,0.05
135665053303678_551475315055981,www.EagleRising.com,Timeline Photos,photo,https://www.facebook.com/theEagleisRising/photos/a.142656825937834.1073741830.135665053303678/551475315055981/?type=3,9/20/2016 0:30,696,22,902,515,3,12,12,29,125,0,0.01
135665053303678_551475151722664,Eagle Rising,Timeline Photos,photo,https://www.facebook.com/theEagleisRising/photos/a.142656825937834.1073741830.135665053303678/551475151722664/?type=3,9/19/2016 23:30,783,18,373,715,21,8,27,1,11,0,-0.18
135665053303678_551519291718250,www.EagleRising.com,Timeline Photos,photo,https://www.facebook.com/theEagleisRising/photos/a.142656825937834.1073741830.135665053303678/551519291718250/?type=3,9/19/2016 20:30,313,32,261,187,2,14,13,2,95,0,-0.07
135665053303678_551519151718264,www.EagleRising.com,Timeline Photos,photo,https://www.facebook.com/theEagleisRising/photos/a.142656825937834.1073741830.135665053303678/551519151718264/?type=3,9/19/2016 15:30,464,17,496,345,2,4,40,6,67,0,-0.12
135665053303678_551473235056189,www.EagleRising.com,Timeline Photos,photo,https://www.facebook.com/theEagleisRising/photos/a.142656825937834.1073741830.135665053303678/551473235056189/?type=3,9/19/2016 4:30,2968,146,7456,2130,5,42,45,61,685,0,-0.18
135665053303678_551096721760507,www.EagleRising.com,Timeline Photos,photo,https://www.facebook.com/theEagleisRising/photos/a.142656825937834.1073741830.135665053303678/551096721760507/?type=3,9/19/2016 0:30,200,5,87,133,4,2,61,0,0,0,0.07
135665053303678_550923951777784,www.EagleRising.com,Timeline Photos,photo,https://www.facebook.com/theEagleisRising/photos/a.142656825937834.1073741830.135665053303678/550923951777784/?type=3,9/18/2016 20:30,1511,119,2216,1007,11,28,75,19,371,0,0.07
