status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,polarity_comments
62317591679_10153860609821680,The first 30 seconds of presidential debates are the most important. Read more: http://politi.co/2d4vCRu,,video,https://www.facebook.com/politico/videos/10153860609821680/,9/26/2016 14:37,260,33,78,243,4,6,7,0,0,0,0.17
62317591679_10153860538071680,Hillary Clinton's communications director previews tonight's big debate on the latest episode of the Off Message with Glenn Thrush. Listen to the full episode here: http://politi.co/2dbsJPs,"Clinton campaign braces for a milder, gentler Donald Trump",video,https://www.facebook.com/politico/videos/10153860538071680/,9/26/2016 13:59,30,16,3,24,3,0,0,0,3,0,0.1
62317591679_10153851769501680,Charlotte Mayor Jennifer Roberts: “Last night in Charlotte was what a lawful demonstration looks like.”,,video,https://www.facebook.com/politico/videos/10153851769501680/,9/23/2016 10:15,98,50,12,85,4,0,1,7,1,0,0.07
62317591679_10153848960156680,Playbook authors Anna and Jake are live at the #PlaybookEats food truck.,,video,https://www.facebook.com/politico/videos/10153848960156680/,9/22/2016 8:04,179,69,15,155,15,3,3,1,2,0,0.15
62317591679_10153847717791680,Rep. John Lewis' advice to Hillary Clinton's campaign.,,video,https://www.facebook.com/politico/videos/10153847717791680/,9/21/2016 19:14,68,24,7,46,16,0,4,0,2,0,-0.17
62317591679_10153847709491680,Rep. John Lewis  says he'd love to take Donald J. Trump  on a tour of Atlanta.,,video,https://www.facebook.com/politico/videos/10153847709491680/,9/21/2016 19:11,182,40,22,143,26,0,6,0,7,0,-0.12
62317591679_10153847648616680,"Rep. John Lewis on President Obama: 'One thing I love about him, he's cool.'",,video,https://www.facebook.com/politico/videos/10153847648616680/,9/21/2016 18:54,839,111,32,674,121,3,19,2,20,0,0.05
62317591679_10153847645156680,John Lewis on the deaths of Terence Crutcher and Keith Lamont Scott.,,video,https://www.facebook.com/politico/videos/10153847645156680/,9/21/2016 18:53,33,7,10,26,6,0,1,0,0,0,-0.04
62317591679_10153846731596680,"At an event in Ohio, Donald J. Trump discussed the shooting death of Terence Crutcher by an officer in Tulsa, Oklahoma, saying: ""I mean, to me, it looked like he did everything you're supposed to do, and he looked like a really good man."" Read more: http://politi.co/2cHDyJf",,video,https://www.facebook.com/politico/videos/10153846731596680/,9/21/2016 11:51,717,355,212,451,20,111,71,14,50,0,0.19
62317591679_10153846458641680,"Donald J. Trump: ""Becoming the nominee of the party of Abraham Lincoln has been the greatest honor of my life.""",,video,https://www.facebook.com/politico/videos/10153846458641680/,9/21/2016 9:50,1061,561,85,495,44,14,260,17,231,0,-0.1
62317591679_10153846436401680,"Donald J. Trump: ""I asked him for his endorsement...and he couldn't do that and he endorsed Ted Cruz. But I thought it was more of an endorsement for me.""",,video,https://www.facebook.com/politico/videos/10153846436401680/,9/21/2016 9:39,191,95,16,94,5,3,63,2,24,0,-0.12
62317591679_10153846424261680,"Donald J. Trump: ""I want to thank the African-American community. The poll numbers have been going like a rocket ship.""",,video,https://www.facebook.com/politico/videos/10153846424261680/,9/21/2016 9:34,2149,1108,275,856,86,39,852,21,295,0,-0.04
62317591679_10153844312086680,"Donald J. Trump: ""What do you have to lose? I will fix it.""",,video,https://www.facebook.com/politico/videos/10153844312086680/,9/20/2016 12:24,714,440,47,298,29,4,206,2,175,0,-0.04
62317591679_10153843969726680,"President Obama: ""In this country, and as president, I have learned that our identities do not have to be defined by putting someone else down.""",,video,https://www.facebook.com/politico/videos/10153843969726680/,9/20/2016 10:25,1119,191,153,925,157,3,8,1,25,0,0.06
62317591679_10153843957006680,"President Obama: ""We are all stakeholders in this international system.""",,video,https://www.facebook.com/politico/videos/10153843957006680/,9/20/2016 10:19,162,16,7,131,21,0,3,0,7,0,0.07
62317591679_10153843945641680,"President Obama: ""I believe that if we're to meet the challenges of this century, we all have to do more to build up international capacity.""",,video,https://www.facebook.com/politico/videos/10153843945641680/,9/20/2016 10:14,251,48,15,205,31,1,7,1,6,0,-0.16
62317591679_10153843920036680,"President Obama: ""The U.S. has worked with many nations to curb the excesses of capitalism, not to punish wealth but prevent repeated crises.""",,video,https://www.facebook.com/politico/videos/10153843920036680/,9/20/2016 9:58,223,45,13,170,28,2,9,1,13,0,0.08
62317591679_10153843909176680,"President Obama: ""Often those who benefit most from globalization have used their political power to further undermine the position of workers.""",,video,https://www.facebook.com/politico/videos/10153843909176680/,9/20/2016 9:53,376,80,31,321,31,0,4,4,16,0,-0.1
