status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,polarity_comments
389658314427637_1539758329417624,,Timeline Photos,photo,https://www.facebook.com/OfficialRightWingNews/photos/a.401034789956656.90394.389658314427637/1539758329417624/?type=3,9/26/2016 4:00,1638,39,809,1370,13,3,245,3,4,0,-0.08
389658314427637_1539758222750968,,Timeline Photos,photo,https://www.facebook.com/OfficialRightWingNews/photos/a.401034789956656.90394.389658314427637/1539758222750968/?type=3,9/26/2016 3:00,14111,201,8719,13372,680,21,32,5,1,0,-0.09
389658314427637_1539758062750984,,Timeline Photos,photo,https://www.facebook.com/OfficialRightWingNews/photos/a.401034789956656.90394.389658314427637/1539758062750984/?type=3,9/26/2016 2:00,15044,1671,23937,8942,29,462,37,238,5336,0,-0.05
389658314427637_1539756122751178,,Timeline Photos,photo,https://www.facebook.com/OfficialRightWingNews/photos/a.401034789956656.90394.389658314427637/1539756122751178/?type=3,9/26/2016 0:00,12497,302,14812,10069,56,136,94,112,2030,0,0.05
389658314427637_1538709092855881,,Timeline Photos,photo,https://www.facebook.com/OfficialRightWingNews/photos/a.401034789956656.90394.389658314427637/1538709092855881/?type=3,9/25/2016 3:30,78071,2298,219029,63666,1267,119,12836,24,159,0,-0.17
389658314427637_1538708962855894,,Timeline Photos,photo,https://www.facebook.com/OfficialRightWingNews/photos/a.401034789956656.90394.389658314427637/1538708962855894/?type=3,9/25/2016 3:00,1349,21,476,1079,19,1,244,1,5,0,-0.06
389658314427637_1538708679522589,"If you enjoyed this picture, check out our friends at https://www.facebook.com/StopHillaryIn2016",Timeline Photos,photo,https://www.facebook.com/OfficialRightWingNews/photos/a.401034789956656.90394.389658314427637/1538708679522589/?type=3,9/25/2016 2:30,2873,36,644,2728,84,4,52,0,5,0,-0.02
389658314427637_1538706202856170,"If you enjoyed this picture, check out our friends https://www.facebook.com/StopHillaryIn2016",Timeline Photos,photo,https://www.facebook.com/OfficialRightWingNews/photos/a.401034789956656.90394.389658314427637/1538706202856170/?type=3,9/25/2016 1:30,14907,248,5114,14230,402,20,226,7,22,0,-0.03
389658314427637_1538706052856185,,Timeline Photos,photo,https://www.facebook.com/OfficialRightWingNews/photos/a.401034789956656.90394.389658314427637/1538706052856185/?type=3,9/25/2016 0:30,13901,255,9016,11338,133,32,2344,22,32,0,0.07
389658314427637_1538705639522893,,Timeline Photos,photo,https://www.facebook.com/OfficialRightWingNews/photos/a.401034789956656.90394.389658314427637/1538705639522893/?type=3,9/24/2016 23:34,6098,99,5233,5098,61,26,877,18,18,0,-0.12
389658314427637_1537694712957319,,Timeline Photos,photo,https://www.facebook.com/OfficialRightWingNews/photos/a.401034789956656.90394.389658314427637/1537694712957319/?type=3,9/24/2016 4:00,35341,429,19263,32695,1043,77,1269,52,205,0,-0.16
389658314427637_1537694386290685,,Timeline Photos,photo,https://www.facebook.com/OfficialRightWingNews/photos/a.401034789956656.90394.389658314427637/1537694386290685/?type=3,9/24/2016 3:00,29708,463,27532,28382,1116,135,39,15,21,0,0.06
389658314427637_1537694232957367,,Timeline Photos,photo,https://www.facebook.com/OfficialRightWingNews/photos/a.401034789956656.90394.389658314427637/1537694232957367/?type=3,9/24/2016 2:30,8292,135,8838,7175,114,42,613,28,320,0,-0.1
389658314427637_1537694119624045,,Timeline Photos,photo,https://www.facebook.com/OfficialRightWingNews/photos/a.401034789956656.90394.389658314427637/1537694119624045/?type=3,9/24/2016 2:00,25291,500,10787,23918,291,27,37,45,973,0,0.08
389658314427637_1537693769624080,,Timeline Photos,photo,https://www.facebook.com/OfficialRightWingNews/photos/a.401034789956656.90394.389658314427637/1537693769624080/?type=3,9/24/2016 0:17,5551,629,4875,5018,86,16,375,11,45,0,0.13
