status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,polarity_comments
114517875225866_1469678179709822,,Timeline Photos,photo,https://www.facebook.com/TheOther98/photos/a.115969958413991.17486.114517875225866/1469678179709822/?type=3,9/25/2016 17:00,199445,6497,370745,182919,13721,295,2087,138,285,0,0.04
114517875225866_1469676326376674,,Timeline Photos,photo,https://www.facebook.com/TheOther98/photos/a.115969958413991.17486.114517875225866/1469676326376674/?type=3,9/25/2016 15:31,40073,821,18399,37342,2161,118,45,353,54,0,-0.05
114517875225866_1468411763169797,Amen,Timeline Photos,photo,https://www.facebook.com/TheOther98/photos/a.115969958413991.17486.114517875225866/1468411763169797/?type=3,9/25/2016 11:00,194070,6361,231995,177143,9976,167,6676,34,74,0,0.03
114517875225866_1468407829836857,,Timeline Photos,photo,https://www.facebook.com/TheOther98/photos/a.115969958413991.17486.114517875225866/1468407829836857/?type=3,9/24/2016 16:00,40585,1342,79053,31510,1473,57,7487,45,13,0,0.16
114517875225866_1468365609841079,,Timeline Photos,photo,https://www.facebook.com/TheOther98/photos/a.115969958413991.17486.114517875225866/1468365609841079/?type=3,9/24/2016 13:31,94624,1218,54487,86833,3416,332,69,3727,247,0,-0.04
114517875225866_1467440196600287,Unbelievable.,Gun Rights are for Whites Only In America,video,https://www.facebook.com/TheOther98/videos/1467440196600287/,9/23/2016 20:40,22607,5410,41524,12275,93,1165,235,1665,7174,0,-0.05
114517875225866_1467439823266991,,This Racist ShitStick Congressman is up for Reelection In Nove...,video,https://www.facebook.com/TheOther98/videos/1467439823266991/,9/23/2016 19:00,2815,452,1599,1315,11,259,49,42,1139,0,-0.09
114517875225866_1467204653290508,Thanks to Todd Holloman,Timeline Photos,photo,https://www.facebook.com/TheOther98/photos/a.115969958413991.17486.114517875225866/1467204653290508/?type=3,9/23/2016 13:08,116706,2279,230190,100505,12074,283,3506,219,119,0,-0.02
114517875225866_1466138256730481,Word.,Timeline Photos,photo,https://www.facebook.com/TheOther98/photos/a.115969958413991.17486.114517875225866/1466138256730481/?type=3,9/22/2016 21:00,41569,561,13332,34548,1128,109,23,5122,639,0,0.12
114517875225866_1466252813385692,,Timeline Photos,photo,https://www.facebook.com/TheOther98/photos/a.115969958413991.17486.114517875225866/1466252813385692/?type=3,9/22/2016 18:38,36927,633,10337,33150,2151,109,33,1253,231,0,0.13
114517875225866_1464993103511663,Yep.,Bernie sums up our Wall Street problem in 10 seconds,video,https://www.facebook.com/TheOther98/videos/1464993103511663/,9/21/2016 17:18,5786,135,2714,5092,449,30,25,24,166,0,0.1
114517875225866_1463842706960036,Pretty much.,Timeline Photos,photo,https://www.facebook.com/TheOther98/photos/a.115969958413991.17486.114517875225866/1463842706960036/?type=3,9/20/2016 22:00,9558,437,3266,7862,103,55,834,119,585,0,0.1
114517875225866_1463890730288567,Ever get the feeling you're being cheated?,Timeline Photos,photo,https://www.facebook.com/TheOther98/photos/a.115969958413991.17486.114517875225866/1463890730288567/?type=3,9/20/2016 18:00,8530,918,11561,5052,48,739,46,245,2400,0,0
114517875225866_1463827773628196,Ha!,Obama Roasts Donald Trump For Birther Conspiracy,video,https://www.facebook.com/TheOther98/videos/1463827773628196/,9/20/2016 17:00,8022,358,3750,6150,712,9,1141,3,7,0,0.14
114517875225866_1463780856966221,Yep.,Timeline Photos,photo,https://www.facebook.com/TheOther98/photos/a.115969958413991.17486.114517875225866/1463780856966221/?type=3,9/20/2016 16:00,32484,629,14224,27909,1626,119,2763,10,57,0,0.14
114517875225866_1463581596986147,Informed Citizens made this killer video.,If Donald Trump Was Your Doctor,video,https://www.facebook.com/TheOther98/videos/1463581596986147/,9/20/2016 14:00,135840,12386,273193,107852,4297,1194,21171,525,797,4,0.19
114517875225866_1463633763647597,,Timeline Photos,photo,https://www.facebook.com/TheOther98/photos/a.115969958413991.17486.114517875225866/1463633763647597/?type=3,9/20/2016 12:44,69754,2013,87910,54458,622,290,104,4731,9549,0,0.03
114517875225866_1462778023733171,Whoa!,Company’s Radioactive Sinkhole Threatens Florida Drinking Wate...,video,https://www.facebook.com/TheOther98/videos/1462778023733171/,9/19/2016 22:00,4503,388,5631,2297,8,565,14,123,1496,0,0.03
114517875225866_1462776623733311,Pretty much.,When Trump Sends His Press People to Defend His Latest Gaffe,video,https://www.facebook.com/TheOther98/videos/1462776623733311/,9/19/2016 19:00,5932,239,1791,3620,109,9,2191,0,3,0,-0.11
114517875225866_1462684057075901,This is how to save a river.,Native Canoe and Kayak Flotilla Demands Dam Removal on Snake R...,video,https://www.facebook.com/TheOther98/videos/1462684057075901/,9/19/2016 17:20,3309,39,683,3021,223,52,3,7,3,0,0.19
