"Because to Donald, size really is all that matters.",How Over-Compensating Donald Trump Made His Little Pre-Debate Rally Look Like The Super Bowl,1
"Donald Trump has no comprehension of the meaning of the word ""truth.""",Americans Against The Republican Party,0
Hillary just gave Trump something to choke on.,BREAKING: Hillary Drops Major ‘Tell-All’ About Trump Just Before The Debates,1
,Groopspeak,0
"Great question.
LIKE Addicting Info for more great content!",Timeline Photos,1
LIKE Addicting Info for more great content!,Timeline Photos,0
Fox News host Sean Hannity desperately tried to smear Terence Crutcher on Wednesday as a violent criminal who was wanted by police but was repeatedly shut down by a local anchor.,Hannity Gets His A** Handed To Him For Falsely Claiming Terence Crutcher Has Violent Criminal Past,0
"This policy has been proven to be racist, and Trump wants it in every state.",Trump Calls For This Racist Policy To Be Forced On Every State,1
Trump supporters are insane.,WATCH: Jimmy Kimmel Demonstrates That Trump Could Support Child Rape And Not Lose Any Votes,0
Must be his new outreach strategy.,Twitter Just Wrecked Donald Trump After Horrible Attack On ‘Black Communities’ (TWEETS),1
"These headlines are really damning, unless you actually read beyond them.",Proof The Mainstream Media Is Manipulating The Election By Taking Bill Clinton Out Of Context,0
Of all the stupid things...,Donald Trump Jr. Just Pinned A Tweet So Stupid It Will Make Your Eyes Bleed,0
"This over the top, even for these morons.","A Dallas Cop Just Filed Suit Against Obama, Hillary, Black Lives Matter For Really Bizarre Conspiracy",0
This is one way to help end institutionalized poverty and racism.,These Banks Are Fighting The Cycle Of Poverty In Places The Major Banks Won’t Go,1
"With early voting coming up, Democrats have no time to spare.","Democrats Need To Mobilize, Stick Together, And Get Out The Vote – And Fast",1
